type,indicator,sessions,context
cve,CVE-2020-3452,337,"Cisco ASA and Firepower Threat Defense web services read-only path traversal: an unauthenticated caller can read files inside the web services file system, and the record states the read cannot reach ASA or FTD system files or the underlying operating system. Rated CVSS 7.5 and listed in CISA KEV since 03 November 2021. Local sensor connection attempts this period, beneath the Cisco ASA Scanner tag at 1,267,349 attempts, so discovery ran roughly 3,760 times the exploitation attempts. Restricting the web services interface to a management network is the compensating control where patching is blocked. No prior-period comparison is asserted."
ip,109.205.211.15,12805964,"AS201814, Poland, classified malicious. The Finding 3 lead source and the period's highest-volume single address, at 4.2% of everything GreyNoise observed. RDP Crawler 11,998,874, 93.7% of its traffic, alongside RDP Bruteforce Attempt 461,102 at 3.6%, which is three fifths of every RDP credential attempt GreyNoise recorded this period. Six other behaviors appear at fewer than 250 connection attempts each, and the rest carried no behavioral tag. These tags overlap on the same connections and are not additive. All of that volume arrived across 11 and 12 September. GreyNoise first observed it on 14 August 2025 and last observed it on 12 September. Per-host restriction is worth applying, and the block is perishable while the behavioral tags are not."
ip,212.181.252.130,2451040,"AS3301, Sweden, classified malicious. The Finding 2 source carrying the highest credential share of the five. SSH Connection Attempt 2,373,990 on port 22 alongside SSH Bruteforcer 25,844, 1.1% of what it sent. It carries no alternative-port SSH crawling in this window. A passive fingerprint matches a consumer smart-thermostat profile, consistent with a scanning platform running on consumer hardware. The network carries ordinary subscriber traffic, so resolve this address on its own record and never apply a network-level control."
ip,62.164.177.54,1762082,"AS215929, Netherlands, classified malicious. Finding 3 source, carried in this series since the 2026-07-06 brief. RDP Crawler 1,704,994, 7.9% of all RDP crawling in the corpus, alongside RDP Bruteforce Attempt 45,695. The 2026-09-08 brief recorded 1,700,472 crawling attempts and 29,286 credential attempts across a longer window, so the daily rate is now roughly 46% higher on crawling and roughly 127% higher on credential attempts. Per-host restriction is worth applying."
ip,37.111.53.110,1220943,"AS133385, Myanmar, classified malicious. Finding 2 source on mobile carrier address space. SSH Alternative Port Crawler 1,218,751 against SSH Connection Attempt 1,219,039, meaning effectively every SSH connection it opened went to a port other than 22. SSH Bruteforcer 1,800, 0.15% of what it sent. These tags overlap on the same connections and are not additive. Resolve it on its own record rather than at the network level."
ip,193.142.147.109,1217656,"AS213438, Netherlands, classified malicious. Finding 3 source. RDP Crawler 787,996, 3.7% of all RDP crawling in the corpus, alongside RDP Bruteforce Attempt 25,366. Per-host restriction is worth applying."
ip,103.60.204.198,1133815,"AS150696, Bangladesh, classified malicious. Finding 2 source on consumer broadband address space. SSH Alternative Port Crawler 1,129,674 alongside SSH Bruteforcer 3,255, 0.29% of what it sent. Resolve it on its own record rather than at the network level."
ip,103.82.210.181,1081684,"AS135780, India, classified malicious. Finding 2 source on consumer broadband address space. SSH Alternative Port Crawler 1,080,604 alongside SSH Bruteforcer 1,713, 0.16% of what it sent. Resolve it on its own record rather than at the network level."
ip,103.195.81.146,1051478,"AS138296, India, classified malicious. Finding 2 source, recorded by GreyNoise as a client VPN endpoint. SSH Alternative Port Crawler 1,042,541 alongside SSH Bruteforcer 3,947, 0.38% of what it sent. Resolve it on its own record rather than at the network level."
ip,36.91.242.149,946914,"AS7713, Indonesia, classified malicious. Finding 3 source. RDP Crawler 945,211, 4.4% of all RDP crawling in the corpus, alongside RDP Bruteforce Attempt 11,349. Per-host restriction is worth applying."
ip,34.19.116.50,926021,"AS396982, United States, classified malicious. It replaced the address the 2026-09-08 brief named on the same network and ran the same three-behavior signature at near-identical volumes: WebLogic version checking 45,008, Cisco Smart Install endpoint scanning 44,995 and Oracle WebLogic RCE CVE-2018-2628 44,991. It supplied 41% of the corpus total on each of the latter two. These tags overlap on the same connections and are not additive."
cidr,151.243.11.0/24,9890187,"AS209630. 55 active hosts against the 36 the 2026-09-08 brief counted, and those 55 account for effectively all of the autonomous system's observed presence this period, 9,890,187 connection attempts of 9,890,190. The toolkit narrowed: the per-protocol sweep the 2026-09-08 brief recorded is largely gone, leaving web crawling at 7,880,355 connection attempts above 1,876,663 SOCKS5 proxy probes, 73% of the corpus total, and 1,853,855 open proxy probes, 58% of that corpus total, both on ports 80 and 8080. Do NOT block at the perimeter as a range: resolve every member on its own GreyNoise record and build the durable control on the behavioral tags, because the addresses rotate and the toolkit does not."
cidr,94.154.46.0/24,2884920,"AS202412. Nine active hosts that forged the Googlebot identity while harvesting secrets. GoogleBot Pretender recorded 2,188,545 connection attempts corpus-wide and 1,798,195 of that came from this range, so its share rose from roughly two thirds to 82% while the corpus daily rate fell slightly. Behind the forged identity the range ran 893,436 environment file requests and 70,003 repository configuration requests. Verify every inbound Googlebot claim against the source address. Do NOT block at the perimeter as a range: the members are rented addresses that rotate out, so resolve each on its own record and key the durable control on the GoogleBot Pretender tag."
cidr,213.209.159.0/24,2545239,"AS208137 (Feo Prest SRL). 47 active hosts against the 49 the 2026-09-08 brief counted, carried in this series since the 2026-06-22 brief. Its daily rate rose about a tenth while the host count came down by two, and proxy probing joined the environment file crawling and sensitive file and configuration path collection it has run since June. Do NOT block at the perimeter as a range: the range mixes GreyNoise classifications across its members, so resolve every member on its own record."
cidr,130.12.180.0/24,2158454,"AS202412. 17 active hosts against the 21 the 2026-09-08 brief counted, supplying 1,323,125 RDP crawling attempts, 6.2% of everything GreyNoise observed on the RDP Crawler tag this period. It sits on the same autonomous system as the forged crawler range 94.154.46.0/24, and the two run different behavior profiles and are tracked separately. Do NOT block at the perimeter as a range: resolve every member on its own record and build the control on the behavioral tags."
domain,scan[.]visionheight[.]com,N/A,"Unvalidated reverse DNS record shared by four malicious hosts on AS16509 (3.129.187.38, 3.130.168.2, 18.116.101.220 and 18.218.118.203) that produced 3,944,755 connection attempts between them this period. Tracked in this brief series since the 2026-02-16 brief; the prior brief named five hosts at 4,688,194 attempts, so the daily rate is roughly 22% higher across a smaller measured set. The record is attacker-controlled and unvalidated, so it is a hunting pivot and a reverse-DNS correlation, never a basis for attribution to a named operator."
fingerprint,JA4H ge11nn040000_e1d2031bdfea_000000000000_000000000000,5622363,"Search: https://viz.greynoise.io/query/ja4h%3A%22ge11nn040000_e1d2031bdfea_000000000000_000000000000%22 . Shared JA4H HTTP client fingerprint carried by all four members of the VisionHeight cloud-hosted scanning fleet on AS16509, which also carry the same dominant JA4 client fingerprints. This is the full indexed value; match on all four fields. GreyNoise observed this JA4H on 8,813 sources and 5,622,363 connection attempts corpus-wide this period; the four fleet hosts account for 1,738,748 of that, 31%. It marks a tool class shared well beyond this fleet. Pair it with the AS16509 addresses when hunting, and expect other clusters in the results. A shared fingerprint marks a tool class, not an operator, so treat it as a hunting pivot rather than attribution or a block candidate."
fingerprint,HASSH f93d28ee0c77e2612b27491518d909f4,493016,"Search: https://viz.greynoise.io/query/raw_data.hassh.fingerprint%3A%22f93d28ee0c77e2612b27491518d909f4%22 . Shared SSH client fingerprint carried by two of the four alternative-port SSH sources in Finding 2, 37.111.53.110 on AS133385 and 103.60.204.198 on AS150696. GreyNoise observed it on 9 sources and 493,016 connection attempts corpus-wide this period across 8 autonomous systems, and the two networks named here supply 99.5% of that volume. Group alternative-port SSH sources by this value where autonomous system grouping finds nothing. Treat it as a hunting pivot, and never as attribution or a block candidate."
fingerprint,HASSH 3335afa7a75e84f8348f05c623c5ecf9,453207,"Search: https://viz.greynoise.io/query/raw_data.hassh.fingerprint%3A%223335afa7a75e84f8348f05c623c5ecf9%22 . Shared SSH client fingerprint carried by the other two alternative-port SSH sources in Finding 2, 103.82.210.181 on AS135780 and 103.195.81.146 on AS138296. GreyNoise observed it on 5 sources and 453,207 connection attempts corpus-wide this period across 4 autonomous systems, and the two networks named here supply 89% of that volume. Neither of the two HASSH values in this file spans all four sources; between them they group four hosts across four separate autonomous systems. Treat it as a hunting pivot, and never as attribution or a block candidate."
asn,AS201814,12805964,"Poland. Host network for 109.205.211.15, the Finding 3 lead source, and carried in this series since the 2026-01-11 brief. The sessions figure is that host's own volume, not the network's. Do not block at the ASN level: resolve each address on its own record and build the durable control on the RDP Crawler and RDP Bruteforce Attempt tags."
asn,AS209630,9890187,"Host network for 151.243.11.0/24, the proxy discovery block, at 55 active hosts this period. Those 55 hosts account for effectively all of the autonomous system's observed presence this period, 9,890,187 connection attempts of 9,890,190. Carried in this series since the 2026-06-01 brief. Do not block at the ASN level: resolve each address on its own record."
asn,AS202412,5043374,"Two ranges this series tracks sit here: 94.154.46.0/24, the nine-host forged crawler fleet at 2,884,920 connection attempts, and 130.12.180.0/24 at 17 active hosts and 2,158,454. The sessions figure is those two ranges combined. The two run different behavior profiles and are tracked separately. Do not block at the ASN level: resolve each address on its own record."
asn,AS16509,3944755,"United States. Host network for the four VisionHeight fleet members named in this file. The sessions figure is those four hosts' combined volume, not the network's. This is a cloud provider carrying ordinary customer traffic, so never block at the ASN level: resolve each address on its own record and hunt the shared JA4H fingerprint listed here."
asn,AS208137,2545239,"Host network for 213.209.159.0/24, the secret and configuration file harvesting range carried in this series since the 2026-06-22 brief, at 47 active hosts this period. Do not block at the ASN level: the range mixes GreyNoise classifications across its members, so resolve every member on its own record."
